City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Sterling,US,64.69,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
201,Port Keats,AU,89.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
202,Santa Maria,BR,54.7,scattered clouds,-29.6842,-53.8069,Hotel Morotin
203,Waipawa,NZ,62.82,clear sky,-41.4122,175.5153,Tora Coastal Walk
205,Coihaique,CL,50.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
207,Izumo,JP,55.35,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
210,Solano,US,68.32,clear sky,38.2333,-121.9511,Westwind Inn
211,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
212,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
215,Mankera,PK,80.94,clear sky,31.3866,71.4407,Haider Wood Supplier
217,Chabahar,IR,80.17,overcast clouds,25.2919,60.643,هتل گدروشیا
219,Samarai,PG,83.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
220,Poum,NC,77.99,few clouds,-20.2333,164.0167,
221,Ravar,IR,68.36,broken clouds,31.2656,56.8055,computertik
224,Newcastle,AU,76.48,overcast clouds,-32.9272,151.7765,NOAH'S on the beach
226,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
228,Santiago,CL,62.17,clear sky,-33.4569,-70.6483,Hotel Panamericano
229,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
230,Moree,AU,73.42,overcast clouds,-29.4667,149.85,Molika Springs Motel
231,Comodoro Rivadavia,AR,64.26,clear sky,-45.8667,-67.5,Austral Hotel
233,Dhidhdhoo,MV,84.33,overcast clouds,6.8833,73.1,Dhidhoo beach
234,Sompeta,IN,86.5,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
235,Tezu,IN,73.42,light rain,27.9167,96.1667,Circuit House
236,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
